10,55,4
10,57,3
10,58,5
10,59,2
10,60,1
10,63,4
10,64,3
10,66,3
10,77,5
10,79,4
10,86,4
12,55,5
12,57,5
12,58,3
12,59,5
12,60,3
12,65,4
12,68,4
12,70,3
12,75,5
12,82,4
13,57,5
13,60,5
13,67,3
13,71,4
13,73,3
13,74,5
13,76,4
13,78,4
13,80,1
13,83,5
13,84,3
13,85,2
13,87,5
14,66,4
14,69,5
14,70,5
14,72,2
14,76,2
14,77,5
14,81,4
14,85,5
14,86,4
15,59,4
15,63,5
15,64,5
15,68,2
15,72,5
15,74,4
15,78,5
15,80,4
15,83,4
15,86,3
16,57,3
16,59,5
16,64,2
16,65,2
16,67,4
16,70,1
16,74,5
16,78,3
16,84,5
16,85,4
17,58,3
17,66,5
17,68,5
17,72,4
17,78,2
17,79,5
17,82,5
17,86,5
17,87,4
18,55,3
18,63,3
18,64,5
18,67,4
18,69,4
18,73,5
18,74,3
18,75,4
